date,Reconstruction_Error,err_norm,slope_norm,z_norm,Health_Score,Risk_Status
2016-03-06,0.039610446736410974,0.36606555267101787,0.169437845391443,0.404926287179069,68.5,Warning
2016-03-07,0.033668057029522705,0.31103443683557586,0.23401553992589302,0.36337933922396604,70.2,Normal
2016-03-08,0.028945146318624083,0.26729663786378616,0.42315932054983,0.3301078262876209,67.3,Warning
2016-03-09,0.0065152687032555955,0.059578656696156945,0.42315932054983,0.30251400495815445,78.3,Normal
2016-03-10,8.182480653092341e-05,0.0,0.42315932054983,0.2790104210232689,81.7,Normal
2016-03-11,8.182480653092341e-05,0.0,0.42315932054983,0.2585632761564088,82.1,Normal
2016-03-12,8.182480653092341e-05,0.0,0.42315932054983,0.24046506844661963,82.5,Normal
2016-03-13,8.182480653092341e-05,0.0,0.42315932054983,0.22421171194524592,82.8,Normal
2016-03-14,8.182480653092341e-05,0.0,0.42315932054983,0.20943168038234908,83.1,Normal
2016-03-15,8.182480653092341e-05,0.0,0.42315932054983,0.19584292484603083,83.4,Normal
2016-03-16,8.182480653092341e-05,0.0,0.42315932054983,0.183225469627341,83.6,Normal
2016-03-17,8.182480653092341e-05,0.0,0.42315932054983,0.1714032614523352,83.9,Normal
2016-03-18,8.182480653092341e-05,0.0,0.42315932054983,0.16023166796423002,84.1,Normal
2016-03-19,8.182480653092341e-05,0.0,0.42315932054983,0.14958849618383155,84.3,Normal
2016-03-20,8.182480653092341e-05,0.0,0.42315932054983,0.1393671982421422,84.5,Normal
2016-03-21,8.182480653092341e-05,0.0,0.42315932054983,0.12947136031780984,84.7,Normal
2016-03-22,8.182480653092341e-05,0.0,0.42315932054983,0.11980977510403219,84.9,Normal
2016-03-23,8.182480653092341e-05,0.0,0.42315932054983,0.11029143042118808,85.1,Normal
2016-03-24,8.182480653092341e-05,0.0,0.42315932054983,0.10081958528197163,85.3,Normal
2016-03-25,8.182480653092341e-05,0.0,0.42315932054983,0.09128362052762541,85.5,Normal
2016-03-26,8.182480653092341e-05,0.0,0.42315932054983,0.0815461671035042,85.7,Normal
2016-03-27,8.182480653092341e-05,0.0,0.42315932054983,0.0714200353613331,85.9,Normal
2016-03-28,8.182480653092341e-05,0.0,0.42315932054983,0.06062112313493021,86.1,Normal
2016-03-29,8.182480653092341e-05,0.0,0.42315932054983,0.04865581691005573,86.3,Normal
2016-03-30,8.182480653092341e-05,0.0,0.42315932054983,0.03448275231159896,86.6,Normal
2016-03-31,8.182480653092341e-05,0.0,0.42315932054983,0.0,87.3,Normal
2016-04-01,8.182480653092341e-05,0.0,0.47448803824932345,0.999999086880352,65.8,Warning
2016-04-02,0.006858385775603905,0.06275618565081804,0.47214851511197603,0.24565622272468923,77.8,Normal
2016-04-03,0.008174131895976336,0.07494101039839667,0.464885642164912,0.2299218496132922,77.7,Normal
2016-04-04,0.012215502850568341,0.1123672251211271,0.45269941940813074,0.2156421264645618,76.5,Normal
2016-04-05,0.014220947018255678,0.13093918619018735,0.43558984684163254,0.20255270149959342,76.3,Normal
2016-04-06,0.01402881398180506,0.12915988595808162,0.4135569244654183,0.1904483428539211,77.3,Normal
2016-04-07,0.011774751147368513,0.10828552411701048,0.386600652279487,0.17916641577514603,79.4,Normal
2016-04-08,0.009861827964755977,0.09057037879010164,0.42315932054982985,0.16857559871113048,79.4,Normal
2016-04-09,0.006467690630626085,0.059138047016339644,0.42315932054982985,0.15856796280420174,81.2,Normal
